"Hr Dashboard","الموارد البشرية"
"Log out","تسجيل خروج"
"About","عن النظام"
"Elitehr Branches","فرع"
"List View","عرض القائمة"
"Elitehr Employee","موظف"
"Elitehr Attendance","سجل حضور"
"You haven't created a {0} yet","ليس لديك {0}"
"Elitehr Attendance Status","حالة حضور"
"Elitehr Departments","ادارة"
"ID","ID"
"Elitehr Tasks","مهام"
"Responsable","المسؤول"
"Due Date","تاريخ الاستحقاق"
Task Title, عنوان المهمة
Task Description, وصف المهمة
"Open","مفتوح"
Hours Expected, الساعات المقدرة
"Responsable Name","اسم المسؤول"
"Subject","الموضوع" 
"Elitehr Attachments","مرفقات"
"Elitehr Deduction Levels","مستويات الخصم"
"Elitehr Deduction Rules","قواعد الخصومات"
"Elitehr Shift Assign Tool","تعيين وردية"
"Elitehr Shift Schedule Assign Tool","تعيين جدول الورديات"
"Elitehr Shifts","وردية"
"Elitehr Shift Schedule","جدول عمل"
"Elitehr Attendance Correction Request","طلب تصحيح بصمة"
"Elitehr Leaves","الإجازات"
"Leaves","الإجازات"
"Leaves Requests", طلبات الاجازات
"Elitehr Supply Contract","عقد توريد"
"Elitehr Resignations","الاستقالات"
"Resignations","الاستقالات"
"Elitehr Employment","التوظيف"
"Elitehr Org Structure","الهيكل التنظيمي"
Organization Structure, الهيكل التنظيمي
"Eliteht Employee Contracts","عقود الموظفين"
"Elitehr Leave Policies","سياسات الأجازات",
"Leave Policies","سياسات الأجازات",
"Elitehr Short Leave Requests","اذن"
"Elitehr Leave Policies Rules","قواعد حساب السياسات"
"Elitehr Projects","مشروع"
Project, المشروع
Project Name, اسم المشروع
"Elitehr Team","فريق العمل"
"Elitehr Extra Work","عمل اضافي"
"Elitehr Business Trip Request", "مأمورية"
"Eitehr Settings","اعدادات"
"Elitehr Company","معلومات الشركة"
"Elitehr Users","المستخدمين"
"Elite Themes","المظهر والتخصيص"
"Elitehr Fingerprint Sites","مواقع البصمة"
"Fingerprint Sites","مواقع البصمة"
"Elitehr Security Settings","إعدادات الأمان"
"Elitehr Requests","الطلبات"
"Collapse","تصغير",
"Notification","الاشعارات"
"Search","البحث"
"Expand","توسيع"
"Expand All","توسيع الكل"
"Collapse All","طي الكل"
"New","جديد"
"Is Group","مجموعة"
"Further sub-groups can only be created under records marked as 'Group'",'لا يمكن إنشاء مجموعات فرعية إضافية إلا ضمن السجلات المصنفة على أنها "مجموعة".'
"Elitehr Company","اعدادات الشركة"
"Company Name","اسم الشركة"
"Email","البريد الإلكتروني"
"Country","الدولة"
"Phone Number","رقم الهاتف"
"Save","حفظ"
"Edit","تعديل"
"Delete","حذف"
"Rename","اعادة تسمية"
"Add Child","اضافة"
"Print","طباعة"
"Refresh","اعادة تحميل"
"Saved Filters","حفظ الفلاتر"
"Save Current Filter","حفظ الفلتر الحالي"
"Add {0}", اضافة {0}
"Home", الرئيسية
"Home Dashboard", الرئيسية
"Employee Affairs", شؤون الموظفين
"Employees", الموظفين
"Organizational Structure", الهيكل التنظيمي
"Settings", الاعدادات
"Company Information", معلومات الشركة
"Projects & Tasks", المشاريع والمهام
"Projects", المشاريع
"Tasks", المهام 
"Tasks View", المهام 
"Teams", فريق العمل
"Productivity", الانتاجية
"Customize Quick Filters", بحث سريع
"Assigned To", تم تعيينها الي
"Description", الوصف
"Priority", الأولوية
"Approvals", الموافقات
"Elitehr Requests",طلب 
